duration,protocol_type,service,src_bytes,dst_bytes,count,srv_count,same_srv_rate,label,attack_type
0,tcp,private,0,0,291,12,0.04,1,dos
0,tcp,private,0,0,120,8,0.07,1,dos
0,tcp,http,215,1623,13,15,1.0,0,normal
0,tcp,efs,0,0,79,17,0.22,1,dos
0,tcp,http,163,1510,3,7,1.0,0,normal
0,tcp,other,19,0,1,1,1.0,0,normal
0,tcp,vmnet,0,0,299,14,0.05,1,dos
3,tcp,smtp,1539,333,1,3,1.0,0,normal
0,udp,domain_u,46,117,1,2,1.0,0,normal
0,tcp,http,196,1292,9,9,1.0,0,normal
0,tcp,gopher,0,0,218,2,0.01,1,dos
0,tcp,iso_tsap,0,0,148,18,0.12,1,dos
0,tcp,IRC,1808,6788,1,1,1.0,0,normal
0,tcp,http,204,882,13,17,1.0,0,normal
0,tcp,http,308,608,16,41,1.0,0,normal
0,tcp,http,242,1086,7,7,1.0,0,normal
0,tcp,ftp_data,10389,0,17,17,1.0,0,normal
0,tcp,http,0,0,2,2,1.0,0,normal
0,tcp,ftp_data,15876,0,18,18,1.0,0,normal
0,tcp,vmnet,0,0,172,14,0.08,1,dos
0,icmp,eco_i,8,0,1,20,1.0,1,probe
28,udp,domain_u,44,44,3,4,0.33,0,normal
0,tcp,http,294,8663,1,1,1.0,0,normal
0,tcp,http,421,667,24,27,1.0,0,normal
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,private,0,0,229,15,0.07,1,dos
4501,tcp,other,1,0,2,2,1.0,1,probe
0,tcp,http,423,705,1,4,1.0,0,normal
0,udp,private,28,0,34,34,1.0,1,dos
0,tcp,private,0,0,240,4,0.02,1,dos
0,tcp,ftp,0,0,240,11,0.05,1,dos
0,tcp,http,248,3040,2,2,1.0,0,normal
0,tcp,http,0,0,4,4,1.0,0,normal
0,tcp,private,0,0,247,22,0.09,1,dos
0,tcp,smtp,0,0,1,1,1.0,0,normal
0,tcp,ftp_data,0,0,53,17,0.32,1,dos
0,tcp,ftp_data,1376,0,2,8,1.0,0,normal
0,udp,domain_u,43,75,206,206,1.0,0,normal
0,tcp,ldap,0,0,140,11,0.08,1,dos
0,tcp,http,54540,8314,1,2,1.0,1,dos
0,tcp,http,158,10144,3,3,1.0,0,normal
0,tcp,http,230,321,3,3,1.0,0,normal
0,tcp,http,218,857,16,30,1.0,0,normal
0,udp,domain_u,44,136,191,268,0.99,0,normal
1,tcp,smtp,1137,335,1,2,1.0,0,normal
0,tcp,auth,9,38,1,1,1.0,0,normal
1,tcp,smtp,1093,330,1,1,1.0,0,normal
0,tcp,finger,0,0,11,3,0.27,1,dos
0,icmp,ecr_i,1032,0,510,510,1.0,1,dos
0,tcp,http,293,283,7,7,1.0,0,normal
0,tcp,http,203,722,3,5,1.0,0,normal
0,tcp,http,283,337,2,4,1.0,0,normal
0,tcp,http,212,774,19,35,1.0,0,normal
0,tcp,http,247,608,11,11,1.0,0,normal
0,tcp,http,299,12471,3,17,1.0,0,normal
0,tcp,http,218,683,13,13,1.0,0,normal
0,tcp,http,321,182,21,21,1.0,0,normal
0,tcp,other,0,0,511,1,0.0,1,probe
0,tcp,private,0,0,103,17,0.17,1,dos
0,tcp,ftp_data,245,0,2,4,1.0,0,normal
0,tcp,systat,0,0,296,19,0.06,1,dos
0,tcp,http,254,1817,16,16,1.0,0,normal
0,tcp,private,0,0,106,4,0.04,1,dos
0,tcp,http,335,21659,1,1,1.0,0,normal
0,tcp,private,0,0,29,1,0.03,1,dos
0,udp,domain_u,44,132,121,201,1.0,0,normal
0,udp,private,28,0,13,13,1.0,1,dos
0,tcp,ftp_data,0,0,270,20,0.07,1,dos
0,tcp,private,0,0,135,14,0.1,1,dos
0,tcp,finger,0,0,24,10,0.42,1,dos
0,tcp,klogin,0,0,147,18,0.12,1,dos
0,tcp,ftp_data,3676,0,11,11,1.0,0,normal
0,tcp,uucp,0,0,105,5,0.05,1,dos
0,tcp,http,196,7203,2,2,1.0,0,normal
0,tcp,mtp,0,0,193,13,0.07,1,dos
0,udp,private,28,0,91,91,1.0,1,dos
0,tcp,http,299,3200,14,14,1.0,0,normal
0,tcp,nnsp,0,0,120,8,0.07,1,dos
0,tcp,http,325,270,3,3,1.0,0,normal
0,udp,domain_u,45,74,194,194,1.0,0,normal
0,tcp,gopher,0,0,211,20,0.09,1,dos
0,tcp,link,0,0,271,7,0.03,1,dos
0,tcp,private,0,0,294,14,0.05,1,dos
0,tcp,http,338,555,20,22,1.0,0,normal
0,tcp,http,313,550,1,6,1.0,0,normal
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,http,368,2751,3,9,1.0,0,normal
1,tcp,ftp,1180,2447,1,1,1.0,1,r2l
0,tcp,http,298,454,2,2,1.0,0,normal
0,tcp,http,319,4077,5,9,1.0,0,normal
14,tcp,smtp,11712,332,1,2,1.0,0,normal
0,udp,domain_u,45,45,217,217,1.0,0,normal
0,tcp,http,272,6752,8,8,1.0,0,normal
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,Z39_50,0,0,255,6,0.02,1,dos
0,tcp,http,323,686,17,17,1.0,0,normal
0,tcp,private,0,0,135,16,0.12,1,dos
0,tcp,http,298,936,4,4,1.0,0,normal
0,tcp,smtp,0,0,1,1,1.0,0,normal
0,tcp,smtp,2140,326,1,2,1.0,0,normal
0,tcp,http,258,361,11,11,1.0,0,normal
0,udp,domain_u,44,126,168,167,0.99,0,normal
0,tcp,private,0,0,228,12,0.05,1,dos
0,tcp,uucp_path,0,0,246,12,0.05,1,dos
0,tcp,ftp_data,35,0,1,1,1.0,0,normal
0,tcp,telnet,0,0,60,14,0.23,1,dos
0,tcp,gopher,0,0,161,11,0.07,1,dos
0,udp,ntp_u,48,48,1,1,1.0,0,normal
0,tcp,csnet_ns,0,0,118,9,0.08,1,dos
0,tcp,private,0,0,112,15,0.13,1,dos
0,udp,other,516,4,153,153,1.0,0,normal
0,tcp,private,0,0,121,3,0.02,1,dos
0,tcp,http,0,0,38,13,0.34,1,dos
0,tcp,gopher,0,0,265,2,0.01,1,dos
0,icmp,eco_i,8,0,1,13,1.0,1,probe
0,tcp,http,479,9142,7,7,1.0,0,normal
0,tcp,private,0,0,143,13,0.09,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,csnet_ns,0,0,89,1,0.01,1,dos
0,udp,private,105,146,2,2,1.0,0,normal
0,udp,private,105,105,7,1,0.14,0,normal
6029,udp,other,146,105,4,2,0.5,0,normal
0,tcp,netbios_dgm,0,0,296,24,0.08,1,dos
0,tcp,http,235,34021,17,17,1.0,0,normal
0,tcp,smtp,0,0,219,1,0.0,1,dos
0,tcp,vmnet,0,0,286,25,0.09,1,dos
0,tcp,http,210,1933,8,8,1.0,0,normal
0,tcp,private,0,0,122,11,0.09,1,dos
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,smtp,1852,333,1,1,1.0,0,normal
0,tcp,http,222,4945,6,11,1.0,0,normal
0,udp,domain_u,43,134,53,268,1.0,0,normal
0,tcp,auth,9,38,1,1,1.0,0,normal
0,tcp,http,154,389,1,1,1.0,0,normal
1,tcp,time,0,4,1,1,1.0,0,normal
0,udp,domain_u,42,67,198,197,0.99,0,normal
0,tcp,http,295,2483,8,8,1.0,0,normal
0,tcp,private,0,0,113,3,0.03,1,dos
0,tcp,http,281,757,1,8,1.0,0,normal
0,tcp,http,210,339,4,4,1.0,0,normal
0,tcp,private,0,0,109,5,0.05,1,dos
0,tcp,smtp,1820,395,1,3,1.0,0,normal
3,tcp,smtp,1627,327,1,1,1.0,0,normal
0,tcp,http,357,38379,13,13,1.0,0,normal
0,tcp,smtp,867,328,1,1,1.0,0,normal
0,tcp,http,257,1942,11,11,1.0,0,normal
0,tcp,http,288,337,21,21,1.0,0,normal
0,tcp,private,0,0,101,2,0.02,1,dos
0,tcp,http,357,451,7,24,1.0,0,normal
0,tcp,http,187,6731,2,2,1.0,0,normal
0,udp,domain_u,45,129,185,262,0.99,0,normal
1,tcp,ftp,1209,2447,1,1,1.0,1,r2l
0,tcp,systat,0,0,237,20,0.08,1,dos
0,tcp,hostnames,0,0,222,1,0.0,1,dos
0,tcp,http,235,2698,4,4,1.0,0,normal
40593,tcp,private,1,0,2,2,1.0,1,probe
0,udp,domain_u,45,114,3,6,1.0,0,normal
0,tcp,imap4,0,0,239,3,0.01,1,dos
0,tcp,http,331,6137,19,19,1.0,0,normal
0,tcp,http,344,550,1,1,1.0,0,normal
0,tcp,http,284,598,1,1,1.0,0,normal
0,tcp,private,0,0,138,18,0.13,1,dos
0,tcp,http,276,16976,18,37,1.0,0,normal
1,tcp,smtp,1067,329,1,2,1.0,0,normal
0,tcp,telnet,0,0,63,16,0.25,1,dos
0,tcp,private,0,0,113,14,0.12,1,dos
0,tcp,finger,8,139,1,1,1.0,0,normal
0,tcp,http,236,258,26,26,1.0,0,normal
0,tcp,http,302,307,5,5,1.0,0,normal
0,tcp,http,287,5250,1,1,1.0,0,normal
0,tcp,http,228,2799,8,8,1.0,0,normal
0,icmp,eco_i,8,0,1,11,1.0,1,probe
0,icmp,eco_i,8,0,1,1,1.0,1,probe
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,ctf,0,0,239,8,0.03,1,dos
1,tcp,smtp,1714,376,1,1,1.0,0,normal
0,tcp,http,204,1364,12,21,1.0,0,normal
0,tcp,smtp,0,0,191,1,0.01,1,dos
0,tcp,mtp,0,0,221,16,0.07,1,dos
0,tcp,http,320,296,6,8,1.0,0,normal
0,tcp,private,0,0,52,5,0.1,1,dos
0,tcp,ssh,0,0,300,20,0.07,1,dos
0,udp,domain_u,45,111,64,144,1.0,0,normal
0,tcp,http,208,284,8,8,1.0,0,normal
0,tcp,private,0,0,292,11,0.04,1,dos
0,tcp,http,315,318,12,13,1.0,0,normal
0,tcp,supdup,0,0,180,12,0.07,1,dos
0,tcp,ctf,0,0,274,20,0.07,1,dos
0,udp,domain_u,36,0,10,11,1.0,0,normal
0,tcp,echo,0,0,224,24,0.11,1,dos
0,icmp,ecr_i,1032,0,511,511,1.0,1,dos
0,tcp,ftp_data,10272,0,1,1,1.0,0,normal
0,tcp,whois,0,0,109,9,0.08,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,http,218,594,1,28,1.0,0,normal
0,icmp,ecr_i,1032,0,511,511,1.0,1,dos
0,tcp,http,267,1471,1,1,1.0,0,normal
0,tcp,http,251,2742,1,1,1.0,0,normal
42171,tcp,private,1,0,2,2,1.0,1,probe
0,tcp,netbios_ssn,0,0,131,3,0.02,1,dos
0,tcp,http,219,1758,4,4,1.0,0,normal
0,tcp,vmnet,0,0,239,5,0.02,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,private,0,0,296,4,0.01,1,dos
1,tcp,smtp,1130,329,1,2,1.0,0,normal
0,tcp,private,0,0,158,15,0.09,1,dos
0,tcp,ftp_data,334,0,2,2,1.0,1,r2l
0,tcp,http,0,0,1,1,1.0,0,normal
0,udp,domain_u,42,72,189,189,1.0,0,normal
0,tcp,ftp_data,383,0,3,2,0.67,0,normal
33,tcp,ftp,251,773,1,1,1.0,0,normal
0,tcp,netstat,0,0,289,16,0.06,1,dos
0,tcp,private,0,0,109,5,0.05,1,dos
0,tcp,other,0,0,466,1,0.0,1,probe
0,tcp,ftp_data,0,0,29,9,0.31,1,dos
23120,udp,other,146,105,6,2,0.33,0,normal
0,tcp,http,336,11283,1,1,1.0,0,normal
0,tcp,time,0,0,283,20,0.07,1,dos
0,udp,domain_u,44,127,290,289,1.0,0,normal
0,tcp,http,297,308,4,5,1.0,0,normal
0,tcp,http,266,5627,2,2,1.0,0,normal
0,tcp,ftp_data,0,0,36,11,0.31,1,dos
0,udp,domain_u,43,43,98,178,1.0,0,normal
0,tcp,private,0,0,285,17,0.06,1,dos
0,tcp,telnet,142,26316,1,1,1.0,0,normal
0,tcp,http,214,3041,8,8,1.0,0,normal
0,tcp,auth,0,0,254,6,0.02,1,dos
0,icmp,eco_i,8,0,46,34,0.02,1,probe
0,tcp,http,365,526,1,4,1.0,0,normal
0,tcp,http,201,362,10,22,1.0,0,normal
0,udp,domain_u,42,42,6,9,1.0,0,normal
0,icmp,ecr_i,1032,0,511,511,1.0,1,dos
0,udp,domain_u,45,136,78,158,1.0,0,normal
0,tcp,http,325,449,1,4,1.0,0,normal
0,tcp,telnet,0,0,229,2,0.01,1,dos
0,tcp,http,221,37127,3,4,1.0,0,normal
0,tcp,ftp_data,7422,0,11,9,0.82,0,normal
0,tcp,http,248,285,7,22,1.0,0,normal
0,tcp,finger,0,0,243,17,0.07,1,dos
0,tcp,ftp_data,1460,0,5,5,1.0,0,normal
0,tcp,telnet,0,0,25,5,0.2,1,dos
0,tcp,ftp_data,12165,0,1,1,1.0,0,normal
0,tcp,http,273,4091,1,1,1.0,0,normal
0,tcp,http,303,487,16,16,1.0,0,normal
0,tcp,Z39_50,0,0,259,8,0.03,1,dos
0,tcp,private,0,0,144,18,0.12,1,dos
0,tcp,netstat,0,0,235,2,0.01,1,dos
21183,tcp,private,1,0,2,2,1.0,1,probe
0,tcp,private,0,0,129,15,0.12,1,dos
0,tcp,netbios_dgm,0,0,261,9,0.03,1,dos
0,tcp,http,319,4143,26,27,1.0,0,normal
0,tcp,smtp,2947,335,1,1,1.0,0,normal
0,tcp,http,232,2180,22,22,1.0,0,normal
1,tcp,smtp,1129,332,1,1,1.0,0,normal
0,tcp,http,322,336,3,4,1.0,0,normal
0,tcp,ftp_data,3468,0,24,24,1.0,0,normal
0,tcp,http,190,2543,11,11,1.0,0,normal
2,tcp,ftp_data,2194619,0,1,1,1.0,0,normal
0,tcp,http,290,60131,6,6,1.0,0,normal
0,tcp,http,299,305,9,9,1.0,0,normal
0,tcp,http,241,307,3,6,1.0,0,normal
0,tcp,http,343,12777,4,4,1.0,0,normal
0,udp,other,146,0,1,1,1.0,0,normal
0,tcp,iso_tsap,0,0,209,3,0.01,1,dos
0,tcp,http,0,0,1,2,1.0,0,normal
0,udp,domain_u,46,46,17,27,1.0,0,normal
6531,udp,other,145,105,2,2,1.0,0,normal
0,tcp,http_443,0,0,143,3,0.02,1,dos
0,tcp,private,0,0,228,2,0.01,1,dos
0,udp,private,1,0,1,1,1.0,1,probe
0,tcp,nntp,0,0,296,7,0.02,1,dos
0,tcp,private,0,0,12,5,0.42,1,dos
0,tcp,telnet,0,0,45,15,0.33,1,dos
0,tcp,http,172,15514,5,5,1.0,0,normal
0,tcp,http,289,2835,10,10,1.0,0,normal
0,tcp,http,308,2325,1,4,1.0,0,normal
0,tcp,ftp_data,0,0,53,15,0.28,1,dos
0,icmp,eco_i,8,0,1,35,1.0,1,probe
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,http,300,1075,22,4,0.18,0,normal
0,tcp,uucp,0,0,141,11,0.08,1,dos
0,tcp,auth,14,41,1,1,1.0,0,normal
0,tcp,private,0,0,145,13,0.09,1,dos
0,tcp,private,0,0,122,7,0.06,1,dos
0,tcp,telnet,0,0,64,9,0.14,1,dos
0,tcp,smtp,1383,326,1,1,1.0,0,normal
0,tcp,http,327,2662,7,7,1.0,0,normal
0,tcp,http,293,313,15,16,1.0,0,normal
0,tcp,http,295,8227,2,2,1.0,0,normal
2684,udp,other,147,105,1,1,1.0,0,normal
0,tcp,ftp_data,0,0,43,9,0.21,1,dos
0,tcp,iso_tsap,0,0,268,4,0.01,1,dos
0,tcp,http,231,1694,12,29,1.0,0,normal
0,tcp,http,223,3605,10,10,1.0,0,normal
14,tcp,smtp,1119,330,1,2,1.0,0,normal
0,tcp,private,0,0,277,8,0.03,1,dos
7631,udp,other,147,105,5,1,0.2,0,normal
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,login,0,0,133,18,0.14,1,dos
0,udp,domain_u,45,126,202,202,1.0,0,normal
0,tcp,private,0,0,102,20,0.2,1,dos
0,tcp,http,373,285,14,14,1.0,0,normal
0,tcp,http,258,1548,11,12,1.0,0,normal
0,tcp,private,0,0,127,18,0.14,1,dos
0,tcp,http,296,1630,11,14,1.0,0,normal
6,tcp,http,0,0,1,2,1.0,0,normal
0,tcp,http,196,285,12,12,1.0,0,normal
0,tcp,http,239,2943,13,14,1.0,0,normal
0,udp,private,28,0,51,51,1.0,1,dos
0,tcp,http,305,1380,3,3,1.0,0,normal
0,icmp,eco_i,8,0,1,28,1.0,1,probe
0,tcp,private,0,0,212,10,0.05,1,dos
0,icmp,eco_i,8,0,1,7,1.0,1,probe
0,tcp,http,335,14638,14,15,1.0,0,normal
0,tcp,http,237,1197,2,7,1.0,0,normal
0,tcp,ftp_data,0,0,6,3,0.5,1,dos
0,tcp,http,252,451,12,12,1.0,0,normal
0,tcp,vmnet,0,0,32,8,0.25,1,dos
0,udp,domain_u,45,45,105,107,1.0,0,normal
0,tcp,http,54540,8314,3,3,1.0,1,dos
0,tcp,private,0,0,223,13,0.06,1,dos
0,tcp,ftp_data,26,0,1,1,1.0,0,normal
0,tcp,csnet_ns,0,0,236,20,0.08,1,dos
0,tcp,http,292,1069,3,3,1.0,0,normal
0,tcp,nnsp,0,0,63,2,0.03,1,dos
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,http,327,2448,4,6,1.0,0,normal
0,tcp,iso_tsap,0,0,239,7,0.03,1,dos
4823,udp,other,147,105,8,2,0.25,0,normal
0,udp,domain_u,45,128,127,207,1.0,0,normal
60,tcp,telnet,126,179,2,2,1.0,1,r2l
0,tcp,http,230,350,8,8,1.0,0,normal
0,udp,domain_u,43,43,34,34,1.0,0,normal
0,tcp,http,241,2017,7,7,1.0,0,normal
0,tcp,http,248,575,23,23,1.0,0,normal
0,tcp,private,0,0,234,19,0.08,1,dos
0,udp,other,146,0,2,1,0.5,0,normal
0,icmp,ecr_i,1032,0,511,511,1.0,1,dos
0,tcp,netbios_dgm,0,0,87,11,0.13,1,dos
0,tcp,private,0,0,279,7,0.03,1,dos
13,tcp,telnet,141,2851,1,1,1.0,0,normal
0,tcp,http,220,365,10,10,1.0,0,normal
0,icmp,eco_i,8,0,1,42,1.0,1,probe
0,tcp,domain,0,0,287,7,0.02,1,dos
0,udp,domain_u,46,115,209,210,1.0,0,normal
0,tcp,private,0,0,258,19,0.07,1,dos
0,tcp,smtp,612,280,2,2,1.0,0,normal
0,tcp,http,225,761,1,4,1.0,0,normal
0,udp,other,133,36,2,1,0.5,0,normal
7767,udp,other,147,105,1,1,1.0,0,normal
0,udp,domain_u,45,127,45,260,1.0,0,normal
0,tcp,daytime,0,0,140,24,0.17,1,dos
0,udp,domain_u,43,107,3,7,1.0,0,normal
0,tcp,ftp_data,1556,0,9,9,1.0,0,normal
0,tcp,smtp,3318,388,1,1,1.0,0,normal
0,tcp,ftp_data,383,0,2,2,1.0,0,normal
0,tcp,http,321,1321,51,51,1.0,0,normal
2620,udp,other,146,105,2,2,1.0,0,normal
0,udp,private,28,0,39,39,1.0,1,dos
0,tcp,http,319,544,19,22,1.0,0,normal
0,tcp,private,0,0,82,16,0.2,1,dos
0,tcp,http,305,1225,10,11,1.0,0,normal
0,tcp,http,209,2057,16,16,1.0,0,normal
0,udp,domain_u,45,76,7,86,1.0,0,normal
0,tcp,imap4,0,0,271,14,0.05,1,dos
0,tcp,http,237,934,25,25,1.0,0,normal
0,icmp,eco_i,8,0,1,22,1.0,1,probe
0,tcp,http,316,2374,1,1,1.0,0,normal
0,tcp,Z39_50,0,0,252,3,0.01,1,dos
0,tcp,http,315,765,8,8,1.0,0,normal
0,udp,domain_u,44,137,64,144,1.0,0,normal
0,tcp,private,0,0,273,5,0.02,1,dos
0,tcp,finger,6,169,1,1,1.0,0,normal
0,tcp,private,0,0,57,20,0.35,1,dos
0,tcp,http,0,0,1,1,1.0,0,normal
0,tcp,http,306,575,20,20,1.0,0,normal
0,tcp,private,0,0,255,5,0.02,1,dos
0,tcp,http,199,363,3,3,1.0,0,normal
0,udp,domain_u,42,108,1,1,1.0,0,normal
0,tcp,whois,0,0,270,6,0.02,1,dos
0,tcp,http,223,1538,15,16,1.0,0,normal
0,udp,domain_u,45,133,64,144,1.0,0,normal
0,tcp,telnet,0,0,1,1,1.0,1,dos
6852,tcp,IRC,1281,9340,1,1,1.0,0,normal
0,tcp,supdup,0,0,190,17,0.09,1,dos
0,icmp,ecr_i,1480,0,2,4,1.0,1,dos
1,tcp,finger,8,445,1,1,1.0,0,normal
0,tcp,csnet_ns,0,0,20,2,0.1,1,dos
0,tcp,http,305,3410,9,9,1.0,0,normal
4,tcp,smtp,1620,332,1,1,1.0,0,normal
36,tcp,ftp,1530,4152,1,1,1.0,0,normal
0,tcp,http,322,1246,5,5,1.0,0,normal
0,tcp,time,0,0,258,13,0.05,1,dos
0,udp,domain_u,73,29,6,9,1.0,0,normal
0,tcp,private,0,0,258,2,0.01,1,dos
0,tcp,http,208,885,11,15,1.0,0,normal
0,udp,domain_u,44,74,248,248,1.0,0,normal
0,udp,domain_u,45,133,163,229,0.99,0,normal
0,tcp,http,159,5233,4,4,1.0,0,normal
0,tcp,private,0,0,81,17,0.21,1,dos
0,tcp,private,0,0,134,13,0.1,1,dos
0,tcp,private,0,0,1,1,1.0,1,probe
0,tcp,http,217,2826,3,3,1.0,0,normal
0,tcp,systat,0,0,123,17,0.14,1,dos
0,udp,domain_u,46,71,207,211,1.0,0,normal
0,tcp,smtp,696,330,1,2,1.0,0,normal
0,icmp,eco_i,8,0,1,48,1.0,1,probe
0,tcp,private,0,0,175,6,0.03,1,dos
0,tcp,private,0,0,138,19,0.14,1,dos
0,tcp,ldap,0,0,121,8,0.07,1,dos
0,tcp,private,0,0,276,11,0.04,1,dos
0,tcp,netbios_ns,0,0,134,19,0.14,1,dos
0,tcp,telnet,0,0,20,20,1.0,1,dos
0,udp,private,1,0,41,22,0.54,1,probe
0,tcp,http,201,313,33,35,1.0,0,normal
0,tcp,http,328,413,2,2,1.0,0,normal
0,tcp,ftp_data,11376,0,9,9,1.0,0,normal
0,icmp,eco_i,18,0,1,1,1.0,1,probe
0,icmp,ecr_i,1480,0,2,4,1.0,1,dos
0,tcp,private,0,0,68,13,0.19,1,dos
0,tcp,private,0,0,4,3,0.75,1,dos
0,icmp,ecr_i,520,0,360,360,1.0,1,dos
0,tcp,http,317,74301,4,4,1.0,0,normal
0,tcp,Z39_50,0,0,198,7,0.04,1,dos
0,tcp,vmnet,0,0,265,5,0.02,1,dos
556,tcp,telnet,475,14999,1,1,1.0,0,normal
0,udp,domain_u,46,122,111,111,0.99,0,normal
